text,system_response,emotion
내 딸이 죽었어. 갑자기 사라지니 너무 허탈해.,딸이 죽어서 허탈하시군요.,분노
오늘은 남편의 존재도 잊어버렸어. 정신이 돌아오고 남편의 얼굴을 보는데 눈물만 났어.,조금 더 자세히 말씀해주시겠어요?,슬픔
건강을 먼저 챙기는 것이 좋을 거 같아. 등산이나 수영 같은 거를 해봐야겠어.,그러한 활동들을 통해 건강해지셨으면 좋겠어요.,분노
가기 싫은데 어쩔 수 없이 가야 하네.,가기 싫으신데 어쩔 수 없이 가시는군요.,분노
다행히 단순 감기라서 조금 쉬면 나아진대.,쉽게 나아진다니 천만다행이네요!,기쁨
당뇨라서 눈이 항상 희미하다. 일도 못 하고 굶어 죽게 생겼다.,당뇨에 걸리셨군요.,분노
나도 반 친구들과 잘 지내고 싶은데 어떻게 하면 될까?,친구들과 잘 지낼 수 있는 방법이 분명히 있을 거예요.,슬픔
아이랑 좀 더 얘기해 볼게.,자녀분과 대화를 하시면 좋은 결과가 있을 거예요.,기쁨
작년에 병원에서 고혈압 진단을 받았었는데 꾸준한 식단 조절을 해서 혈압이 정상이 되었다네.,그동안 노력 많이 하셨나 봐요. 축하드려요.,기쁨
너무 어려운데 내가 어떻게 이해하겠어?,이해하시기가 어렵군요. 지금 상황에서 어떻게 하는 것이 가장 좋은 방법일까요?,분노
나를 지지해주는 사람이 없어서 서러워.,예전에 이런 일이 있을 때 어떻게 대처하셨어요?,슬픔
지금 여자친구와 동거를 하게 된 걸 후회해.,이유를 말씀해 주실 수 있나요?,슬픔
염치없지만 자식들한테 도움을 받아야겠어.,자녀분들에게 도움을 받아 지금 상황을 극복할 수 있었으면 좋겠어요.,슬픔
우리 팀 신입 직원 정말 마음에 안 들어.,신입 직원 때문에 기분이 안 좋으시군요.,분노
나는 소아마비 환자인데 친구들은 나를 쩔뚝이라고 놀려서 너무 슬퍼.,친구들이 놀려서 마음이 슬프시군요.,슬픔
내가 다른 남자애랑 놀아서 남자친구가 또 화가 났어. 나도 이런 내가 지긋지긋해.,이 상황을 변화시키기 위해 무엇을 할 수 있을까요?,분노
이대로는 못 참아! 뭐가 그렇게 바빠서 전화 한 통 없는지 어디 한 번 들어봐야지!,자녀분들과의 통화로 언짢은 기분이 풀리셨으면 좋겠네요.,슬픔
우리 딸이 이번 기말고사에서 일등을 했어.,딸이 이번 기말고사에서 일등을 했군요. 딸에게 어떤 선물을 주실건가요?,기쁨
남편의 죽음이 아직 믿기지 않고 고독하고 외로워. 이 모든 게 내 잘못인 거 같아.,남편의 죽음으로 많이 외롭고 힘드시겠어요.,분노
아내가 세상을 떠나서 너무 힘들어 죽을 거 같아.,아내가 곁에 없어서 정말 많이 힘들겠어요.,슬픔
항암치료를 중단하고 싶어. 그냥 포기하고 싶어.,주위에 지금의 감정을 나눌 수 있는 사람이 있을까요?,슬픔
평소에 하고 싶었던 취미 생활을 시작해보려고.,취미 생활로 정체성을 찾을 수 있었으면 좋겠어요.,슬픔
걱정을 많이 했는데 정상 수치라서 기분이 너무 좋았어.,걱정을 많이 했는데 결과가 좋아 다행이에요.,기쁨
잘 될 줄만 알았는데 이런 날이 오다니 믿기지가 않아.,예상과 상황이 다르게 흘러가다니 마음이 안 좋으시겠어요. 이 상황을 어떻게 극복해야 좋을까요?,슬픔
다음부터는 간섭하지 말라고 확실하게 말을 해야겠어.,심기일전하셔서 다음 프로젝트는 성공적이셨으면 좋겠어요.,슬픔
옛날부터 다닌 직장에서 별 문제없이 은퇴하게 되었어. 직장 상사님과 동료들에게 너무 고마워.,정말 최고의 직장이었을 것 같아요. 회사 분들께 매일이 감사한 하루셨을 것 같네요.,기쁨
이런 일을 겪을 때마다 이제는 회사를 그만 둘 때가 된 것 같아서 자괴감이 들어.,기분이 나아지려면 어떻게 해야 좋을까요?,슬픔
이혼했거든. 남들이 이혼녀라고 다 손가락질 하는 것 같아.,이혼에 대한 시선이 곱지 않다고 느끼시는군요.,슬픔
고향 친구를 만나고 왔는데 나 자신이 초라해 보여.,고향 친구를 만났는데 자신이 초라하게 느껴지셨군요.,슬픔
잘 모르겠어. 상담 선생님한테 말해 볼까 봐.,상담 선생님께 말씀 드리면 어떤 점이 좋아질까요?,분노
전에 괴롭힘을 당했는데 이곳에서는 괴롭히는 애들을 안 보니 마음이 편해.,괴롭힘을 당해서 힘드셨겠어요. 마음이 편하다니 다행이네요.,기쁨
나는 이제 곧 빈털터리가 되고 말 거야.,무슨 이유로 빈털터리가 될 거로 생각하시나요?,분노
안 그래도 몰라주고 협력을 못해서 너무 미안해.,괜찮아요. 잘못한 게 아니니 정말 미안해 하지 말아요.,슬픔
응. 이번에 코로나 심해지니까 재택근무하라고 배려해 주더라고.,직원들을 진정으로 생각하는 회사네요.,기쁨
