row_name,name,ai_text1,player_input1,ai_text2,player_input2,ai_text3,player_input3,label
1,김 과장,직장에서 모두들 내 말을 무시하는 거 같아서 슬퍼.,직장에서 내 말을 무시해서 낙담하시겠어요.,응. 내가 딱히 잘못한 것도 없는데 뭐가 문제인지 모르겠어.,무슨 문제인지 몰라서 슬프시군요. 이 상황을 변화시키기 위해 해볼 수 있는 일들에는 무엇이 있을까요?,직장 상사하고 이 일과 관련해서 면담을 해봐야겠어.,면담을 통해 일이 잘 해결되었으면 좋겠어요.,슬픔
2,취 준생,쉽게 봤던 기업이었는데 서류전형에서부터 탈락해서 너무 슬퍼.,쉽다고 생각한 기업의 서류전형에서 탈락해 슬프시겠어요.,응. 정말 만만하게 봤었는데 서류전형에서부터 막상 탈락하니까 뭐가 문제인지 모르겠어.,이 상황을 변화시키기 위해 내가 할 수 있는 일들에는 무엇이 있을까요?,도대체 어떤 문제점이 있는지 다시 살펴보는 수밖에 없겠어.,진지한 성찰을 통해 다음에는 꼭 좋은 결과가 있었으면 좋겠어요.,슬픔
3,김 학생,나는 일 년 동안 따돌림을 당해서 마음 속 상처가 많아.,따돌림 당한 경험이 큰 상처가 되셨을 것 같아요. 어떤 부분이 가장 힘드셨나요?,아무도 내 말을 믿어주지 않아서 너무 억울했어. 나는 아무 잘못도 없었는데 말이야.,아무도 믿어주지 않아 억울하셨군요. 어떻게 하면 상황이 해결될까요?,사람들에게 부탁도 했지만 나아지지 않았어. 새로운 곳으로 가서 새 출발을 하고 싶어.,새로운 곳으로 가셔서 사용자님이 행복해졌으면 좋겠어요.,상처
4,박 인턴,이번에 인턴으로 들어가 있던 회사에서 정규직 전환과 관련되어 있는 업무가 있었는데 실수를 해버렸어. 너무 자괴감이 든다.,중요한 업무에서 실수를 하셔서 많이 당황스럽고 힘드셨겠어요.,이번에 이 업무를 잘 성공시키지 못하면 정규직 전환 평가에서 좋은 성적을 받기 어려울 텐데 너무 속상해.,이를 만회할 수 있는 좋은 방법이 있을까요?,아직 프로젝트 최종 발표가 남아있어. 실수한 부분을 수정해서 꼭 최종발표에서는 실수 없이 끝냈으면 좋겠어.,실수한 부분을 최종발표에서 꼭 만회하실 수 있었으면 좋겠어요.,당황
5,홈 스쿨,요즘 학교 다니기 너무 힘들어서 진짜 자퇴하고 싶어.,학교에서 무슨 일 있으신가요?,학교에서 괴롭히는 친구들 상대하기 이제 지치고 힘들어.,친구들이 괴롭혀서 지치셨군요. 좋은 방법이 있을까요?,학교를 그만두거나 선생님께 진지하게 말씀드리려고.,선생님과 상담을 받아보려 하시는군요.,분노
6,조 정석,지금까지 정석이 아니라 잘못된 방향으로 취업 준비를 해온 내가 한심해.,그렇군요. 좀 더 자세히 말해주시겠어요?,취업과 상관없는 자격증에 정신이 팔려서 해야 할 것을 못 했어.,꼭 해야할 것을 못하셨군요. 어떻게 하면 이 상황을 극복할 수 있을까요?,이제부터라도 열심히 취업 준비를 해야겠어.,취업 준비가 잘 됐으면 좋겠어요.,당황
7,배 신감,내가 믿었던 친구까지도 중요한 순간에 나를 버리고 가버렸어. 배신감이 들고 속상해.,믿었던 친구에게 배신감을 느껴서 많이 속상하시겠어요.,믿었던 친구였는데 이번 일 때문에 실망이 커.,어떻게 하면 좋지 않은 기분을 낫게 할 수 있을까요?,너무 힘들어. 아무것도 할 수 없을 것만 같아.,지금의 슬픈 감정을 나눌 수 있는 친구가 있었으면 좋겠어요.,슬픔
8,김 불안,나에게 다가오는 사람들은 모두 목적을 가지고 다가오는 것 같아 항상 불안해.,다른 사람이 다가오는 것을 불안해하시는군요.,전에 믿던 사람들에게 실망하는 일을 몇 번 겪어서 그런가 봐.,사람들에게 실망을 겪었던 일이 있었군요.,고치려고 하고는 있는데 사람들과 친해지기가 아직은 조금 어렵네.,실망을 겪었던 것 때문에 친해지는 것에 조심스러운 마음을 갖고 계시는군요.,불안
9,방 콕,우울증이 생긴 이후로 방에서만 살고 있어. 너무 외로워.,우울증 때문에 외롭게 지내고 있으시군요.,방에만 틀어박혀 있으니까 더 우울해지는 것 같아.,방에만 있어서 더 우울해하고 계시는군요. 앞으로 어떻게 하는 것이 좋을까요?,이대로 살 수는 없지. 우울증 검사를 받고 적극적으로 치료를 받아봐야겠어.,적극적으로 치료를 받으면서 기분이 많이 나아지셨으면 좋겠어요.,상처
10,유 전자,우리 집안 남자들은 탈모에 아주 취약해. 그래서 나도 혹여나 탈모가 생길까 봐 걱정이네.,탈모로 인해서 많이 걱정하시고 계시는군요.,아직 많은 나이도 아닌데 혹시 탈모가 올까 봐 신경이 많이 쓰이네.,많이 걱정하고 계시나 봐요. 앞으로 어떻게 하는 게 지금 상황에 도움이 될까요?,탈모에 좋은 음식들을 많이 먹으면서 관리해야겠어.,탈모에 좋은 음식을 먹으며 관리하실 생각이시군요.,불안
